,1006.09,701.335,100,100,1,1,0,1,Tile (2).png
,1099.68,701.335,100,100,1,1,0,1,Tile (2).png
,1193.36,701.335,100,100,1,1,0,1,Tile (2).png
,1005.66,701.501,287.5,76.8,0,1,0,1,
,1002.81,798.888,100,100,0,1,0,1,BGTile (5).png
,1097.91,799.039,100,100,0,1,0,1,BGTile (3).png
,1193.16,799.039,100,100,0,1,0,1,BGTile (4).png
,949.976,601.225,100,100,1,1,0,1,Fence (1).png
,1049.66,600.725,100,100,1,1,0,1,Fence (2).png
,1148.44,601.225,100,100,1,1,0,1,Fence (3).png
,628.046,801.68,100,100,1,1,0,1,BGTile (4).png
,723.304,801.68,100,100,1,1,0,1,BGTile (3).png
,532.953,703.53,100,100,1,1,0,1,BGTile (3).png
,628.046,703.681,100,100,1,1,0,1,BGTile (4).png
,723.304,703.681,100,100,1,1,0,1,BGTile (3).png
,533.14,602.294,290.3,197.6,0,1,0,1,
,531.845,602.022,102.9,101.4,1,1,0,1,Tile (2).png
,625.433,602.022,102.9,101.4,1,1,0,1,Tile (2).png
,719.11,602.022,102.9,101.4,1,1,0,1,Tile (2).png
,286.231,743.17,246.6,191.3,1,1,0,1,Acid (2).png
,588.578,328.836,50,50,0,1,0,1,Spike.png
,527.738,379.838,60,60,0,1,0,1,Tile (2).png
,586.014,379.838,60,60,0,1,0,1,Tile (2).png
,643.527,379.838,60,60,0,1,0,1,Tile (2).png
,-1.76391,702.976,100,100,1,1,0,1,Tile (2).png
,91.8244,702.976,100,100,1,1,0,1,Tile (2).png
,185.501,702.976,100,100,1,1,0,1,Tile (2).png
,-2.04992,702.487,287.5,76.8,0,1,0,1,
,-5.0465,800.529,100,100,0,1,0,1,BGTile (5).png
,90.0456,800.68,100,100,0,1,0,1,BGTile (3).png
,185.304,800.68,100,100,0,1,0,1,BGTile (4).png
,35.0446,602.866,100,100,1,1,0,1,Fence (1).png
,134.728,602.366,100,100,1,1,0,1,Fence (2).png
,233.507,602.866,100,100,1,1,0,1,Fence (3).png
,532.953,801.529,100,100,1,1,0,1,BGTile (3).png
,-139,688.788,130.4,29.1,0,1,0,1,
